         220134140 function calls (207474231 primitive calls) in 485.391 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      996    0.002    0.000    0.404    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\urllib\request.py:2695(getproxies)
       90    0.000    0.000    0.391    0.004 C:\Users\benoi\Documents\master_thesis_code\viriato_interface.py:44(get_node_info)
       90    0.002    0.000    0.390    0.004 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\algorithm_interface\algorithm_interface.py:36(get_node)
       30    0.001    0.000    0.374    0.012 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\algorithm_interface\algorithm_interface.py:442(update_node_track)
       36    0.322    0.009    0.349    0.010 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\networkx\classes\digraph.py:425(add_nodes_from)
        9    0.149    0.017    0.327    0.036 C:\Users\benoi\Documents\master_thesis_code\alns_platform.py:571(identify_candidates_for_operators)
     4980    0.006    0.000    0.323    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\models.py:815(content)
       46    0.000    0.000    0.321    0.007 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\communication\communication_layer.py:35(do_put_request)
2399281/2397246    0.318    0.000    0.320    0.000 {built-in method builtins.len}
   214111    0.317    0.000    0.317    0.000 {method 'groupdict' of 're.Match' objects}
    10052    0.007    0.000    0.317    0.000 {method 'join' of 'bytes' objects}
       46    0.000    0.000    0.314    0.007 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\sessions.py:583(put)
     3757    0.004    0.000    0.310    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\models.py:746(generate)
     1992    0.035    0.000    0.307    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\util\url.py:330(parse_url)
    14527    0.014    0.000    0.307    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\conversion\converter_helpers.py:47(parse_to_timedelta)
     3757    0.005    0.000    0.305    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\response.py:554(stream)
  2364742    0.301    0.000    0.301    0.000 {method 'lower' of 'str' objects}
     3757    0.021    0.000    0.299    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\response.py:724(read_chunked)
      996    0.023    0.000    0.293    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\http\client.py:204(parse_headers)
    14527    0.193    0.000    0.292    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\isodate\isoduration.py:57(parse_duration)
      996    0.013    0.000    0.290    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\utils.py:168(get_netrc_auth)
   147823    0.287    0.000    0.287    0.000 {method 'copy' of 'dict' objects}
   602183    0.287    0.000    0.287    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\networkx\classes\graph.py:973(<genexpr>)
      996    0.005    0.000    0.277    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\adapters.py:292(get_connection)
  1532838    0.267    0.000    0.267    0.000 {built-in method builtins.getattr}
      996    0.015    0.000    0.260    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\models.py:355(prepare_url)
      996    0.014    0.000    0.259    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\parser.py:59(parsestr)
     4829    0.180    0.000    0.257    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\util\url.py:210(_encode_invalid_chars)
    10410    0.093    0.000    0.255    0.000 {method 'strftime' of 'datetime.date' objects}
