# zone, xcoord, ycoord
1063,670934.22258213,211575.662335009
1064,676136.214289165,218770.463531169
1065,672094.691664299,218248.051242932
1066,656718.893986584,205262.600500742
1067,672963.90334645,216002.977124789
1068,680052.747411178,207862.390244745
1069,676312.869701932,210049.116213916
1081,657402.274354084,228231.958712491
1082,649741.483918443,229388.098568153
1083,649605.232469365,218343.435585947
1084,655561.653740415,223475.56413178
1085,651362.420362078,228096.769025418
1086,646752.384386193,220459.79451696
1087,656039.058613137,227826.401067789
1088,660162.444992011,222128.853500695
1089,647913.328281441,227339.965315291
1090,649260.787912726,233788.007123254
1091,647304.990090518,225036.339781284
1092,658494.594233621,225251.73957167
1093,658018.107493654,217217.439455196
1094,652872.819787141,219888.550559411
1095,650325.508401833,222834.168388905
1096,654990.881146785,233030.134655288
1097,653725.995309351,230983.336666346
1098,652954.175263762,214288.265835203
1099,652690.412622754,225792.553369123
1100,651532.005611243,230943.894248894
1101,658584.407995242,231954.672281657
1102,657687.371277243,221223.38932069
1103,650456.429068439,225404.201132068
1104,648627.430257107,232035.048518387
1105,647401.867321262,230149.499363554
1106,645781.677710156,231506.61286303
1107,646955.23133204,211536.667259364
1121,642207.869479333,221973.6438122
1122,633776.459878208,226621.389123476
1123,639442.395819403,227907.62307987
1124,645459.64879065,228042.393720549
1125,642156.199768387,229593.608836474
1126,637916.719159432,225597.897100374
1127,642787.818020065,226052.26302225
1128,643968.531932427,222133.502610614
1129,635468.139814691,222434.571002047
1130,640056.180469017,220980.700477229
1131,634977.269987806,225091.512777885
1132,639251.725289119,212425.524759897
1133,645707.963949982,223762.505476827
1134,638804.939052193,231410.958001784
1135,635646.92168473,211264.949211065
1136,644955.480811728,213100.951937133
1137,641037.343349913,226863.314114453
1138,639097.477586551,223277.557129414
1139,633813.722323677,230509.579274666
1140,641824.663518196,233032.446637066
1141,637382.174146118,228968.746378147
1142,633461.850773339,229203.839801404
1143,641585.929412547,224282.457756902
1144,644392.535218733,229593.926226511
1145,634474.539202359,217536.859326387
1146,644540.752573355,226059.209924715
1147,640894.375165498,235341.354737589
1148,641552.906555001,216712.0626903
1149,641590.926102968,219223.270611898
1150,636993.968528215,220638.790450268
1201,691634.314720877,193724.466471754
1202,691357.086497185,163944.888988085
1203,684316.379128078,186939.545694165
1204,686378.204712729,198152.935117307
1205,698513.467237202,195386.928664453
1206,688588.126959825,185231.264032849
1207,691988.681485051,196635.492641212
1208,681133.856967206,168626.670757957
1209,690571.863760322,177609.044238795
1210,686040.915541073,162322.254008348
1211,682758.064960648,193369.503850801
1212,679063.529455349,159300.960179425
1213,694009.872566811,189428.250675986
1214,687447.346463334,192642.549893004
1215,686308.143311313,201391.178417094
1216,700274.798005847,181476.304603647
1217,693037.422466142,198916.739602026
1218,707096.165339049,192872.662554789
1219,703321.714919645,190576.286206904
1220,683692.023596684,175404.458069615
1301,701734.564931651,219354.771128785
1311,682811.772694313,206634.670037311
1321,698001.61825788,225670.672578647
1322,700959.0434499,228076.467269315
1323,695744.509268168,227100.902015571
1331,676441.606403221,214958.224828765
1341,705342.946105171,225374.566455962
1342,708698.318155955,224907.505525797
1343,712287.015156104,214895.16082947
1344,707552.574990415,227893.210143772
1345,716363.465278732,224471.629990891
1346,713344.908494723,223732.775140938
1347,713744.88183883,228743.193324186
1348,710070.638765589,220492.357691376
1349,709966.689075822,228073.685428932
1361,696909.12225218,212646.156753202
1362,682931.03114598,212010.670577095
1363,698974.699396259,205871.546765073
1364,688201.718662141,206526.097881179
1365,686801.32980534,208823.691677495
1366,692026.205380498,202979.55564867
1367,706545.149553212,201994.695085138
1368,702123.050900565,209667.365881621
1369,695253.87767768,199872.541363166
1370,694447.696194271,217147.97401375
1371,690617.466458043,215010.997862376
1372,693956.246263455,208786.509629062
1373,688962.369433723,211850.570336597
1374,686782.610915386,213563.205650227
1375,705844.219554454,211729.783376311
1401,660313.24694582,200170.940637363
1402,675964.375890751,185878.063616196
1403,651893.588026247,187413.406475885
1404,665812.750838574,187996.251120916
1405,655642.867118288,181996.235667227
1406,661618.360831087,187309.336010465
1407,656217.930704739,194409.279754553
1501,678275.102901133,199522.788125101
1502,674687.585751667,202005.158320006
1503,670560.107759786,196664.083157929
1504,682642.887118549,199954.29610072
1505,674034.232064552,204901.917479969
1506,667318.777838939,199559.78480631
1507,663425.609204824,204180.944246382
1508,673641.485952701,199487.90773048
1509,670382.946260685,201276.189584883
1510,669836.333515615,204001.693383126
1511,672886.746322037,190623.239282027
1601,722884.9154331,198895.506398519
1602,719008.852870485,223067.25612979
1603,717547.080480399,200606.500879731
1604,722712.256756553,200507.474048624
1605,730864.475637209,196429.167122395
1606,731626.703866803,206719.123400658
1607,726138.9393626,211721.414220617
1608,728029.623215673,217718.586126556
1609,717101.442565423,208921.605229917
1610,724358.36011251,202249.750534968
1611,722587.689436824,202281.737753465
1612,721557.613926429,204297.404158789
1613,717453.540903773,191412.019855372
1614,718892.987217569,204000.077216716
1615,733846.940827444,203741.2768602
1616,724827.765633775,208475.121789496
1617,725532.310616404,217341.484901452
1618,732141.086174676,217418.330692448
1619,719044.070626592,215772.88087038
1620,721768.745549376,213777.700361338
1621,722082.460096769,205310.658362085
1622,720227.432737328,220756.813734867
1623,719829.552712083,219012.084039472
1624,730244.500117855,215563.092459206
1625,721642.684391463,212193.021509801
1626,720471.508712089,199153.300379178
1627,725265.378313907,203835.173425371
1628,723008.573918996,208175.891425467
1629,728214.677270074,208207.376754275
1701,683232.850191658,227748.991785719
1702,676399.531446908,228299.782696004
1703,674342.743634509,227164.87907991
1704,688289.418187644,224978.759661625
1705,686686.549967078,228239.947079564
1706,691662.360339825,220902.6940127
1707,676034.113451488,221548.400444334
1708,679451.454045337,228042.812565936
1709,686436.061741791,219454.856072866
1710,683029.714900062,218072.608334204
1711,682255.489067457,222683.228972485
2001,555480.824651788,183062.083330307
2002,557135.33233454,190505.037780327
2003,553254.05908049,185223.819253583
2004,558334.334743517,187168.818623354
2005,552058.238848509,185913.488330519
2007,555243.26165147,179353.163477058
2008,553566.624401164,186716.990124093
2009,553869.197736296,177655.671212596
2010,550348.492425243,184564.881319692
2011,558423.916324912,184560.644381106
2012,564238.798754065,196095.333013935
2013,567779.55411538,190252.224201565
2014,565780.770481416,189625.885400877
2015,555630.911845086,188865.057490724
2016,559929.576631456,182977.300306257
2017,553372.298230737,187192.931529366
2018,558608.470585799,191585.102658242
2020,556352.547880317,186259.437093677
2022,561762.67769834,194349.302874713
2023,554454.092808439,184558.98590084
2024,568740.436284026,186991.223008369
2025,555115.776463899,186818.020286851
2026,564626.64718806,182430.07141038
