fromZone, toZone,distance
5,1,6581.429
5,2,2701.885
5,3,4033.261
5,5,2691
5,13,12915.207
5,14,6155.751
5,21,66542.241
5,23,68112.672
5,24,65645.254
5,26,65223.925
5,28,67987.679
5,30,63650.124
5,31,60657.582
5,32,63366.715
5,33,66364.914
5,37,69503.824
5,39,67092.265
5,43,67354.986
5,51,44764.04
5,52,34157
5,53,42818.824
5,54,32606.916
5,55,47999.123
5,56,44337.732
5,57,49161.782
5,58,46985.456
5,59,45216.049
5,60,45723.647
5,61,53994.309
5,62,31254.172
5,63,38104.996
5,64,37747.534
5,65,41778.293
5,66,27892.269
5,67,52792.511
5,68,46675.361
5,69,30625.685
5,70,53692.924
5,71,53213.325
5,72,40206.925
5,81,44706.891
5,82,38921
5,83,36381
5,84,36185
5,85,38795
5,86,38122
5,87,39959
5,88,41337.924
5,89,36241.683
5,90,34926.777
5,91,44792.888
5,92,33813.585
5,93,42313.657
5,94,40046
5,95,39979.53
5,96,33016
5,97,31206
5,98,44318.14
5,99,42313.653
5,100,45635.934
5,101,39451.647
5,102,53570.502
5,111,57214.161
5,112,55497
5,113,59870.629
5,115,53666.144
5,116,55575.93
5,117,55272.523
5,119,48313.266
5,121,49644
5,131,31835
5,133,35419.686
5,135,28835.922
5,136,33503.002
5,137,32556.273
5,139,30822.925
5,141,34441.735
5,151,32396.5
5,152,35543.5
5,153,60910.574
5,154,30661.5
5,156,38386.5
5,157,54694.662
5,160,33143
5,161,28459.5
5,171,72286.394
5,172,47523.033
5,173,54910.63
5,174,39448.711
5,175,59175.995
5,176,47588.503
5,177,53763.242
5,178,52585.999
5,180,52682.297
5,181,74628.989
5,182,58378.51
5,191,30625.987
5,192,41956.529
5,193,33626.905
5,194,41791.338
5,195,34503.434
5,196,51962.831
5,197,37080.998
5,198,42816
5,199,39878.696
5,200,32584.548
5,211,64880.994
5,212,61383.413
5,213,49988.209
5,214,61633.812
5,215,61388.227
5,216,60266.647
5,217,61785.147
5,218,61345.122
5,219,56095.66
5,220,74255.103
5,221,58215.601
5,222,67234.155
5,223,56798.4
5,224,51144.354
5,225,61130.286
5,226,65371.016
5,227,56700.076
5,228,71173.811
5,229,55114.165
5,231,67871.469
5,241,12724.397
5,242,9387
5,243,24783
5,244,25753.436
5,245,20599.5
5,246,27971
5,247,21213
5,248,13523.235
5,249,21803.5
5,250,12197
5,251,23251.5
5,2933,58177.052
5,2938,60039.477
5,4021,37464.172
5,4022,22082.16
5,4023,26686
5,4024,42366.453
5,4026,38459.539
5,4027,40064.693
5,4028,45878.683
5,4029,43728.61
5,4030,29755
5,4031,29466.181
5,4033,37130.354
5,4034,32520.219
5,4035,40821.956
5,4036,44207.961
5,4037,37658.058
5,4038,40123.919
5,4039,25800.363
5,4040,31181
5,4041,36998.389
5,4042,41132.795
5,4043,45348.036
5,4044,42894.961
5,4045,36211.155
5,4046,38604.292
5,4048,42769.712
5,4061,15287.661
5,4062,17060
5,4066,26749.141
5,4067,32473.984
5,4072,35099.993
5,4074,14272
5,4075,28131.326
5,4077,37675.473
5,4081,18860.87
5,4083,22120.817
5,4084,6903
5,4093,52786.517
5,4107,51333.802
5,4123,47453.175
5,4301,72179.367
5,4302,70969.733
5,4305,52508.79
5,4306,59164.918
5,4308,55336.526
5,4312,48351.518
5,4314,60884.5
5,4315,65437.275
5,4317,58874.199
5,4318,47151.583
5,4319,53041.189
5,4321,55746.378
5,4322,55150.505
5,4571,64439.254
5,4601,75454.133
5,23001,50437.037
5,23002,51454.374
5,23003,53495.322
5,23004,56107.341
5,26101,22823
5,26102,15653.07
5,26103,19140.407
5,26104,20913
5,26105,20913
5,26106,26045.447
5,26107,24623
5,26108,24661
5,26109,17861.242
5,26110,21609.799
5,26111,25444.429
5,26112,30755.809
13,1,8200.107
13,2,15026.284
13,3,6767.679
13,5,12915.207
13,13,4680
13,14,8666.342
13,21,60395.764
13,23,60394.185
13,24,57116.096
13,26,58389.512
13,28,62087.662
13,30,57138.284
13,31,55957.891
13,32,56557.026
13,33,58005.394
13,37,59726.872
13,39,58697.48
13,43,60497.048
13,51,40699.446
13,52,28398.516
13,53,39016.116
13,54,25545.151
13,55,44058.375
13,56,38193.567
13,57,46014.066
13,58,44188.425
13,59,42326.558
13,60,43025.208
13,61,50415.772
13,62,27774.812
13,63,30803.325
13,64,31180.391
13,65,35128.38
13,66,24816.449
13,67,48553.444
13,68,37959.778
13,69,25287.63
13,70,50181.946
13,71,49103.529
13,72,33964.652
13,81,43262.118
13,82,37272.758
13,83,34737.899
13,84,34496.468
13,85,37060.417
13,86,37377.278
13,87,38189.137
13,88,39506.524
13,89,33385.089
13,90,33474.512
13,91,43804.391
13,92,32250.114
13,93,41437.416
13,94,38371.402
13,95,38995.898
13,96,31395.248
13,97,29733.143
13,98,42780.811
13,99,41481.195
13,100,43984.151
13,101,38670.359
13,102,51196.828
13,111,54554.591
13,112,52267.059
13,113,57924.911
13,115,50515.584
13,116,47243.434
13,117,50292.214
13,119,42167.018
13,121,47068.815
13,131,26549.344
13,133,26165.622
13,135,16579.78
13,136,21973.746
13,137,22409.441
13,139,18575.64
13,141,21903.982
13,151,26064.898
13,152,29221.462
13,153,56613.608
13,154,24328.734
13,156,32968.033
13,157,51219.397
13,160,26047.925
13,161,21659.689
13,171,70662.96
13,172,42052.642
13,173,48282.989
13,174,33499.561
13,175,48892.577
13,176,36704.737
13,177,45015.092
13,178,45856.934
13,180,45617.71
13,181,68533.07
13,182,50636.954
13,191,23081.054
13,192,33319.495
13,193,22049.871
13,194,38787.942
13,195,24750.214
13,196,48933.282
13,197,31430.494
13,198,40111.092
13,199,33982.435
13,200,25569.273
13,211,56932.293
13,212,52071.813
13,213,46185.142
13,214,49896.015
13,215,52546.146
13,216,51323.297
13,217,52839.287
13,218,53358.889
13,219,47116.305
13,220,66074.152
13,221,50979.104
13,222,56954
13,223,47610.978
13,224,49115.038
13,225,47904.942
13,226,54785.215
13,227,48136.934
13,228,58887.349
13,229,46641.24
13,231,54311.116
13,241,9288.8
13,242,6651.582
13,243,20061.418
13,244,20814.512
13,245,16272.856
13,246,22686.439
13,247,16955.839
13,248,4767.493
13,249,17490.454
13,250,11115.374
13,251,18960.94
13,2933,55485.325
13,2938,57292.866
13,4021,32508.429
13,4022,18494.112
13,4023,20919.643
13,4024,38446.646
13,4026,32698.869
13,4027,34845.809
13,4028,37465.483
13,4029,38723.316
13,4030,25905.169
13,4031,23277.566
13,4033,33365.342
13,4034,27407.846
13,4035,33833.506
13,4036,37779.902
13,4037,26934.372
13,4038,34105.081
13,4039,22020.414
13,4040,27274.175
13,4041,32116.432
13,4042,35966.662
13,4043,39776.188
13,4044,37737.962
13,4045,32880.153
13,4046,35735.635
13,4048,40215.53
13,4061,12100.183
13,4062,13947.647
13,4066,20959.839
13,4067,28175.051
13,4072,32241.141
13,4074,11224.8
13,4075,21240.732
13,4077,33272.341
13,4081,15527.994
13,4083,19254.359
13,4084,10258.41
13,4093,45385.254
13,4107,43570.164
13,4123,40529.628
13,4301,64421.35
13,4302,63308.621
13,4305,46314.702
13,4306,55677.526
13,4308,53290.142
13,4312,42097.293
13,4314,58710.814
13,4315,60109.518
13,4317,56525.744
13,4318,43896.647
13,4319,49563.713
13,4321,48692.548
13,4322,51731.634
13,4571,52370.692
13,4601,66021.331
13,23001,46215.446
13,23002,43969.347
13,23003,46096.364
13,23004,51442.561
13,26101,14846.044
13,26102,13027.191
13,26103,7299.284
13,26104,11495.793
13,26105,17353.11
13,26106,16523.22
13,26107,20410.222
13,26108,21356.127
13,26109,7281.463
13,26110,16412.171
13,26111,18921.609
