((633, '2005-05-10T07:23:00', 1260020, 'a'), (606, '2005-05-10T07:28:12', 9813543, 'd'))
((633, '2005-05-10T07:23:00', 1260020, 'a'), (606, '2005-05-10T07:30:12', 624466, 'd'))
((633, '2005-05-10T07:23:00', 1260020, 'a'), (606, '2005-05-10T07:32:00', 8599093, 'd'))
((633, '2005-05-10T07:23:00', 1260020, 'a'), (606, '2005-05-10T07:37:06', 11435958, 'd'))
((308, '2005-05-10T07:43:48', 1263660, 'a'), (308, '2005-05-10T07:47:54', 10338067, 'd'))
((308, '2005-05-10T07:43:48', 1263660, 'a'), (308, '2005-05-10T07:50:18', 10951109, 'd'))
((498, '2005-05-10T07:56:24', 1265116, 'a'), (498, '2005-05-10T07:58:24', 1265116, 'd'))
((520, '2005-05-10T07:47:00', 1445997, 'a'), (520, '2005-05-10T07:47:30', 1445997, 'd'))
((542, '2005-05-10T07:49:00', 1446359, 'a'), (542, '2005-05-10T07:49:30', 1446359, 'd'))
((456, '2005-05-10T07:51:30', 1446721, 'a'), (456, '2005-05-10T07:52:00', 1446721, 'd'))
((297, '2005-05-10T07:56:00', 1447083, 'a'), (297, '2005-05-10T07:57:30', 1447083, 'd'))
((587, '2005-05-10T06:20:00', 1609876, 'a'), (587, '2005-05-10T06:22:00', 1609876, 'd'))
((587, '2005-05-10T06:20:00', 1609876, 'a'), (587, '2005-05-10T06:32:00', 12699402, 'd'))
((498, '2005-05-10T06:35:00', 1612788, 'a'), (498, '2005-05-10T06:37:00', 1612788, 'd'))
((498, '2005-05-10T06:35:00', 1612788, 'a'), (498, '2005-05-10T06:40:00', 2764037, 'd'))
((498, '2005-05-10T06:35:00', 1612788, 'a'), (498, '2005-05-10T06:42:00', 7414049, 'd'))
((498, '2005-05-10T06:35:00', 1612788, 'a'), (498, '2005-05-10T06:45:00', 13370982, 'd'))
((498, '2005-05-10T06:35:00', 1612788, 'a'), (498, '2005-05-10T06:43:54', 1433647, 'd'))
((498, '2005-05-10T06:35:00', 1612788, 'a'), (498, '2005-05-10T06:41:06', 7607999, 'd'))
((498, '2005-05-10T06:35:00', 1612788, 'a'), (498, '2005-05-10T06:42:00', 12163594, 'd'))
((633, '2005-05-10T06:56:00', 1617884, 'a'), (633, '2005-05-10T07:10:00', 1617884, 'd'))
((633, '2005-05-10T06:56:00', 1617884, 'a'), (633, '2005-05-10T07:04:18', 1083116, 'd'))
((633, '2005-05-10T06:56:00', 1617884, 'a'), (633, '2005-05-10T07:06:00', 8124073, 'd'))
((633, '2005-05-10T06:56:00', 1617884, 'a'), (633, '2005-05-10T07:08:00', 10331879, 'd'))
((633, '2005-05-10T06:56:00', 1617884, 'a'), (633, '2005-05-10T07:08:00', 3490583, 'd'))
((633, '2005-05-10T06:56:00', 1617884, 'a'), (633, '2005-05-10T07:02:00', 11290722, 'd'))
((633, '2005-05-10T06:56:00', 1617884, 'a'), (633, '2005-05-10T07:10:06', 11965942, 'd'))
((633, '2005-05-10T06:56:00', 1617884, 'a'), (606, '2005-05-10T07:03:42', 5127344, 'd'))
((633, '2005-05-10T06:56:00', 1617884, 'a'), (606, '2005-05-10T07:02:30', 1858514, 'd'))
((633, '2005-05-10T06:56:00', 1617884, 'a'), (606, '2005-05-10T07:07:00', 6243424, 'd'))
((633, '2005-05-10T06:56:00', 1617884, 'a'), (606, '2005-05-10T07:00:12', 6635817, 'd'))
((587, '2005-05-10T07:20:00', 1620432, 'a'), (587, '2005-05-10T07:22:00', 1620432, 'd'))
((587, '2005-05-10T07:20:00', 1620432, 'a'), (587, '2005-05-10T07:32:00', 12711050, 'd'))
((498, '2005-05-10T07:35:00', 1623344, 'a'), (498, '2005-05-10T07:37:00', 1623344, 'd'))
((498, '2005-05-10T07:35:00', 1623344, 'a'), (498, '2005-05-10T07:43:54', 1445635, 'd'))
((498, '2005-05-10T07:35:00', 1623344, 'a'), (498, '2005-05-10T07:40:00', 2773502, 'd'))
((498, '2005-05-10T07:35:00', 1623344, 'a'), (498, '2005-05-10T07:42:00', 7415505, 'd'))
((498, '2005-05-10T07:35:00', 1623344, 'a'), (498, '2005-05-10T07:41:06', 7640333, 'd'))
((498, '2005-05-10T07:35:00', 1623344, 'a'), (498, '2005-05-10T07:45:00', 13372438, 'd'))
((498, '2005-05-10T07:35:00', 1623344, 'a'), (498, '2005-05-10T07:42:00', 12168326, 'd'))
((633, '2005-05-10T06:24:00', 2082738, 'a'), (633, '2005-05-10T06:32:00', 1250192, 'd'))
((633, '2005-05-10T06:24:00', 2082738, 'a'), (633, '2005-05-10T06:36:00', 3640040, 'd'))
((633, '2005-05-10T06:24:00', 2082738, 'a'), (633, '2005-05-10T06:37:00', 2432797, 'd'))
((633, '2005-05-10T06:24:00', 2082738, 'a'), (633, '2005-05-10T06:38:12', 5579488, 'd'))
((633, '2005-05-10T06:24:00', 2082738, 'a'), (633, '2005-05-10T06:32:00', 11285990, 'd'))
((633, '2005-05-10T06:24:00', 2082738, 'a'), (633, '2005-05-10T06:34:12', 12917074, 'd'))
((633, '2005-05-10T06:24:00', 2082738, 'a'), (606, '2005-05-10T06:33:42', 5120064, 'd'))
((633, '2005-05-10T06:24:00', 2082738, 'a'), (606, '2005-05-10T06:28:30', 7058421, 'd'))
((633, '2005-05-10T06:24:00', 2082738, 'a'), (606, '2005-05-10T06:28:12', 9798983, 'd'))
((633, '2005-05-10T06:24:00', 2082738, 'a'), (606, '2005-05-10T06:30:12', 617550, 'd'))
((633, '2005-05-10T06:24:00', 2082738, 'a'), (606, '2005-05-10T06:32:00', 8592177, 'd'))
((633, '2005-05-10T06:24:00', 2082738, 'a'), (606, '2005-05-10T06:37:06', 11424310, 'd'))
((633, '2005-05-10T06:24:00', 2082738, 'a'), (13, '2005-05-10T06:38:00', 10852829, 'd'))
((633, '2005-05-10T07:24:00', 2087470, 'a'), (633, '2005-05-10T07:32:00', 1260020, 'd'))
((633, '2005-05-10T07:24:00', 2087470, 'a'), (633, '2005-05-10T07:36:00', 3644772, 'd'))
((633, '2005-05-10T07:24:00', 2087470, 'a'), (633, '2005-05-10T07:30:00', 11633610, 'd'))
((633, '2005-05-10T07:24:00', 2087470, 'a'), (633, '2005-05-10T07:38:00', 11798866, 'd'))
((633, '2005-05-10T07:24:00', 2087470, 'a'), (633, '2005-05-10T07:37:00', 2450997, 'd'))
((633, '2005-05-10T07:24:00', 2087470, 'a'), (633, '2005-05-10T07:38:12', 5592956, 'd'))
((633, '2005-05-10T07:24:00', 2087470, 'a'), (633, '2005-05-10T07:32:00', 11295454, 'd'))
((633, '2005-05-10T07:24:00', 2087470, 'a'), (633, '2005-05-10T07:34:12', 12935274, 'd'))
((633, '2005-05-10T07:24:00', 2087470, 'a'), (606, '2005-05-10T07:33:42', 5134624, 'd'))
((633, '2005-05-10T07:24:00', 2087470, 'a'), (606, '2005-05-10T07:28:30', 7068613, 'd'))
