type,node,,,
arrivalNode,(379, '2005-05-10T06:12:24',7503229, 'a')
arrivalNode,(553, '2005-05-10T06:13:42',7503593, 'a')
arrivalNode,(545, '2005-05-10T06:19:30',7503957, 'a')
arrivalNode,(498, '2005-05-10T06:24:00',7504685, 'a')
arrivalNode,(207, '2005-05-10T07:49:06',7641789, 'a')
arrivalNode,(199, '2005-05-10T07:53:30',7642517, 'a')
arrivalNode,(538, '2005-05-10T07:56:54',7642881, 'a')
arrivalNode,(611, '2005-05-10T08:00:24',7643245, 'a')
arrivalNode,(515, '2005-05-10T07:18:48',8128077, 'a')
arrivalNode,(633, '2005-05-10T07:58:00',8744329, 'a')
arrivalNode,(538, '2005-05-10T06:03:00',9039897, 'a')
arrivalNode,(199, '2005-05-10T06:06:24',9040261, 'a')
arrivalNode,(207, '2005-05-10T06:11:12',9040989, 'a')
arrivalNode,(498, '2005-05-10T06:19:12',9042445, 'a')
arrivalNode,(498, '2005-05-10T06:09:00',9636275, 'a')
arrivalNode,(520, '2005-05-10T06:13:36',9636639, 'a')
arrivalNode,(542, '2005-05-10T06:16:18',9637003, 'a')
arrivalNode,(340, '2005-05-10T06:20:54',9638095, 'a')
arrivalNode,(285, '2005-05-10T06:23:00',9638459, 'a')
arrivalNode,(192, '2005-05-10T06:29:18',9638823, 'a')
arrivalNode,(244, '2005-05-10T06:32:12',9639187, 'a')
arrivalNode,(431, '2005-05-10T06:33:54',9639551, 'a')
arrivalNode,(563, '2005-05-10T06:38:18',9640279, 'a')
arrivalNode,(592, '2005-05-10T06:41:12',9640643, 'a')
arrivalNode,(606, '2005-05-10T06:46:00',9641371, 'a')
arrivalNode,(623, '2005-05-10T06:51:06',9641735, 'a')
arrivalNode,(462, '2005-05-10T06:55:36',9642099, 'a')
arrivalNode,(498, '2005-05-10T07:09:00',9645011, 'a')
arrivalNode,(520, '2005-05-10T07:13:36',9645375, 'a')
arrivalNode,(542, '2005-05-10T07:16:18',9645739, 'a')
arrivalNode,(340, '2005-05-10T07:20:54',9646831, 'a')
arrivalNode,(285, '2005-05-10T07:23:00',9647195, 'a')
arrivalNode,(192, '2005-05-10T07:29:18',9647559, 'a')
arrivalNode,(244, '2005-05-10T07:32:12',9647923, 'a')
arrivalNode,(431, '2005-05-10T07:33:54',9648287, 'a')
arrivalNode,(563, '2005-05-10T07:38:18',9649015, 'a')
arrivalNode,(592, '2005-05-10T07:41:12',9649379, 'a')
arrivalNode,(606, '2005-05-10T07:46:00',9650107, 'a')
arrivalNode,(623, '2005-05-10T07:51:06',9650471, 'a')
arrivalNode,(462, '2005-05-10T07:55:36',9650835, 'a')
arrivalNode,(267, '2005-05-10T06:02:54',9796435, 'a')
arrivalNode,(207, '2005-05-10T06:09:12',9796799, 'a')
arrivalNode,(199, '2005-05-10T06:14:18',9797527, 'a')
arrivalNode,(462, '2005-05-10T06:17:48',9798255, 'a')
arrivalNode,(623, '2005-05-10T06:22:48',9798619, 'a')
arrivalNode,(606, '2005-05-10T06:26:12',9798983, 'a')
arrivalNode,(592, '2005-05-10T06:29:48',9799711, 'a')
arrivalNode,(563, '2005-05-10T06:34:18',9800075, 'a')
arrivalNode,(431, '2005-05-10T06:36:18',9800803, 'a')
arrivalNode,(244, '2005-05-10T06:38:42',9801167, 'a')
arrivalNode,(192, '2005-05-10T06:43:12',9801531, 'a')
arrivalNode,(294, '2005-05-10T06:20:36',9802623, 'a')
arrivalNode,(383, '2005-05-10T06:26:00',9802987, 'a')
arrivalNode,(227, '2005-05-10T06:29:00',9803351, 'a')
arrivalNode,(267, '2005-05-10T06:32:54',9803715, 'a')
arrivalNode,(207, '2005-05-10T06:39:12',9804079, 'a')
arrivalNode,(199, '2005-05-10T06:44:18',9804807, 'a')
arrivalNode,(462, '2005-05-10T06:47:48',9805535, 'a')
arrivalNode,(623, '2005-05-10T06:52:48',9805899, 'a')
arrivalNode,(606, '2005-05-10T06:56:12',9806263, 'a')
arrivalNode,(592, '2005-05-10T06:59:48',9806991, 'a')
arrivalNode,(563, '2005-05-10T07:04:18',9807355, 'a')
arrivalNode,(431, '2005-05-10T07:06:18',9808083, 'a')
arrivalNode,(244, '2005-05-10T07:08:42',9808447, 'a')
arrivalNode,(192, '2005-05-10T07:13:12',9808811, 'a')
arrivalNode,(294, '2005-05-10T06:50:36',9809903, 'a')
arrivalNode,(383, '2005-05-10T06:56:00',9810267, 'a')
arrivalNode,(227, '2005-05-10T06:59:00',9810631, 'a')
arrivalNode,(267, '2005-05-10T07:02:54',9810995, 'a')
arrivalNode,(207, '2005-05-10T07:09:12',9811359, 'a')
arrivalNode,(199, '2005-05-10T07:14:18',9812087, 'a')
arrivalNode,(462, '2005-05-10T07:17:48',9812815, 'a')
arrivalNode,(623, '2005-05-10T07:22:48',9813179, 'a')
arrivalNode,(606, '2005-05-10T07:26:12',9813543, 'a')
arrivalNode,(592, '2005-05-10T07:29:48',9814271, 'a')
arrivalNode,(563, '2005-05-10T07:34:18',9814635, 'a')
arrivalNode,(431, '2005-05-10T07:36:18',9815363, 'a')
arrivalNode,(244, '2005-05-10T07:38:42',9815727, 'a')
arrivalNode,(192, '2005-05-10T07:43:12',9816091, 'a')
arrivalNode,(294, '2005-05-10T07:20:36',9817183, 'a')
arrivalNode,(383, '2005-05-10T07:26:00',9817547, 'a')
arrivalNode,(227, '2005-05-10T07:29:00',9817911, 'a')
arrivalNode,(267, '2005-05-10T07:32:54',9818275, 'a')
arrivalNode,(207, '2005-05-10T07:39:12',9818639, 'a')
arrivalNode,(199, '2005-05-10T07:44:18',9819367, 'a')
arrivalNode,(462, '2005-05-10T07:47:48',9820095, 'a')
arrivalNode,(623, '2005-05-10T07:52:48',9820459, 'a')
arrivalNode,(606, '2005-05-10T07:56:12',9820823, 'a')
arrivalNode,(592, '2005-05-10T07:59:48',9821551, 'a')
arrivalNode,(294, '2005-05-10T07:50:36',9824463, 'a')
arrivalNode,(383, '2005-05-10T07:56:00',9824827, 'a')
arrivalNode,(227, '2005-05-10T07:59:00',9825191, 'a')
arrivalNode,(267, '2005-05-10T08:02:54',9825555, 'a')
arrivalNode,(462, '2005-05-10T06:03:36',10156067, 'a')
arrivalNode,(623, '2005-05-10T06:08:18',10156431, 'a')
arrivalNode,(606, '2005-05-10T06:11:24',10156795, 'a')
arrivalNode,(592, '2005-05-10T06:14:42',10157523, 'a')
arrivalNode,(563, '2005-05-10T06:19:30',10157887, 'a')
arrivalNode,(431, '2005-05-10T06:23:24',10158615, 'a')
arrivalNode,(244, '2005-05-10T06:26:12',10158979, 'a')
arrivalNode,(192, '2005-05-10T06:29:36',10159343, 'a')
arrivalNode,(285, '2005-05-10T06:33:24',10159707, 'a')
arrivalNode,(340, '2005-05-10T06:36:24',10160071, 'a')
arrivalNode,(515, '2005-05-10T06:40:54',10160435, 'a')
arrivalNode,(520, '2005-05-10T06:45:12',10161527, 'a')
arrivalNode,(498, '2005-05-10T06:50:18',10161891, 'a')
arrivalNode,(462, '2005-05-10T07:03:36',10164803, 'a')
arrivalNode,(623, '2005-05-10T07:08:18',10165167, 'a')
arrivalNode,(606, '2005-05-10T07:11:24',10165531, 'a')
arrivalNode,(592, '2005-05-10T07:14:42',10166259, 'a')
arrivalNode,(563, '2005-05-10T07:19:30',10166623, 'a')
arrivalNode,(431, '2005-05-10T07:23:24',10167351, 'a')
arrivalNode,(244, '2005-05-10T07:26:12',10167715, 'a')
arrivalNode,(192, '2005-05-10T07:29:36',10168079, 'a')
arrivalNode,(285, '2005-05-10T07:33:24',10168443, 'a')
arrivalNode,(340, '2005-05-10T07:36:24',10168807, 'a')
arrivalNode,(515, '2005-05-10T07:40:54',10169171, 'a')
arrivalNode,(520, '2005-05-10T07:45:12',10170263, 'a')
arrivalNode,(498, '2005-05-10T07:50:18',10170627, 'a')
arrivalNode,(587, '2005-05-10T06:18:00',10323871, 'a')
arrivalNode,(498, '2005-05-10T06:33:00',10326783, 'a')
arrivalNode,(633, '2005-05-10T07:00:00',10331879, 'a')
arrivalNode,(587, '2005-05-10T07:18:00',10333699, 'a')
arrivalNode,(498, '2005-05-10T07:33:00',10336611, 'a')
arrivalNode,(633, '2005-05-10T08:00:00',10341707, 'a')
arrivalNode,(611, '2005-05-10T07:08:00',10683933, 'a')
arrivalNode,(563, '2005-05-10T07:14:00',10684661, 'a')
arrivalNode,(192, '2005-05-10T07:20:00',10685753, 'a')
arrivalNode,(515, '2005-05-10T07:26:42',10686845, 'a')
arrivalNode,(563, '2005-05-10T06:59:18',10950381, 'a')
arrivalNode,(563, '2005-05-10T07:59:18',10955841, 'a')
arrivalNode,(392, '2005-05-10T06:09:36',11097074, 'a')
arrivalNode,(551, '2005-05-10T06:12:12',11097438, 'a')
arrivalNode,(370, '2005-05-10T06:15:18',11097802, 'a')
arrivalNode,(498, '2005-05-10T06:19:12',11098166, 'a')
arrivalNode,(462, '2005-05-10T06:32:54',11101078, 'a')
arrivalNode,(623, '2005-05-10T06:37:30',11101442, 'a')
arrivalNode,(606, '2005-05-10T06:40:36',11101806, 'a')
arrivalNode,(592, '2005-05-10T06:44:54',11102534, 'a')
arrivalNode,(563, '2005-05-10T06:48:12',11102898, 'a')
arrivalNode,(431, '2005-05-10T06:53:06',11103626, 'a')
arrivalNode,(244, '2005-05-10T06:55:54',11103990, 'a')
arrivalNode,(192, '2005-05-10T06:58:18',11104354, 'a')
arrivalNode,(285, '2005-05-10T07:03:06',11104718, 'a')
arrivalNode,(340, '2005-05-10T07:06:06',11105082, 'a')
arrivalNode,(515, '2005-05-10T07:10:36',11105446, 'a')
arrivalNode,(392, '2005-05-10T07:09:36',11106538, 'a')
arrivalNode,(551, '2005-05-10T07:12:12',11106902, 'a')
arrivalNode,(370, '2005-05-10T07:15:18',11107266, 'a')
arrivalNode,(498, '2005-05-10T07:19:12',11107630, 'a')
arrivalNode,(462, '2005-05-10T07:32:54',11110542, 'a')
arrivalNode,(623, '2005-05-10T07:37:30',11110906, 'a')
arrivalNode,(606, '2005-05-10T07:40:36',11111270, 'a')
arrivalNode,(592, '2005-05-10T07:44:54',11111998, 'a')
arrivalNode,(563, '2005-05-10T07:48:12',11112362, 'a')
arrivalNode,(431, '2005-05-10T07:53:06',11113090, 'a')
arrivalNode,(244, '2005-05-10T07:55:54',11113454, 'a')
arrivalNode,(192, '2005-05-10T07:58:18',11113818, 'a')
arrivalNode,(285, '2005-05-10T08:03:06',11114182, 'a')
arrivalNode,(498, '2005-05-10T06:53:00',11628878, 'a')
arrivalNode,(587, '2005-05-10T07:07:00',11631790, 'a')
arrivalNode,(633, '2005-05-10T07:20:00',11633610, 'a')
arrivalNode,(308, '2005-05-10T07:41:36',11637250, 'a')
arrivalNode,(498, '2005-05-10T07:53:00',11638706, 'a')
arrivalNode,(633, '2005-05-10T07:30:00',11798866, 'a')
arrivalNode,(587, '2005-05-10T07:48:00',11800686, 'a')
arrivalNode,(168, '2005-05-10T07:45:06',11973950, 'a')
arrivalNode,(587, '2005-05-10T07:49:42',11974678, 'a')
arrivalNode,(611, '2005-05-10T07:56:12',11975406, 'a')
arrivalNode,(663, '2005-05-10T07:59:18',11975770, 'a')
arrivalNode,(545, '2005-05-10T07:39:06',12248406, 'a')
arrivalNode,(553, '2005-05-10T07:41:30',12248770, 'a')
arrivalNode,(379, '2005-05-10T07:47:48',12249134, 'a')
arrivalNode,(220, '2005-05-10T07:53:12',12249498, 'a')
arrivalNode,(179, '2005-05-10T07:57:54',12249862, 'a')
arrivalNode,(370, '2005-05-10T06:16:18',12306282, 'a')
arrivalNode,(551, '2005-05-10T06:17:18',12306646, 'a')
arrivalNode,(392, '2005-05-10T06:19:18',12307010, 'a')
arrivalNode,(444, '2005-05-10T06:23:06',12307374, 'a')
arrivalNode,(370, '2005-05-10T07:16:18',12308466, 'a')
arrivalNode,(551, '2005-05-10T07:17:18',12308830, 'a')
arrivalNode,(392, '2005-05-10T07:19:18',12309194, 'a')
arrivalNode,(444, '2005-05-10T07:23:06',12309558, 'a')
arrivalNode,(370, '2005-05-10T06:49:00',13371346, 'a')
arrivalNode,(514, '2005-05-10T06:51:06',13371710, 'a')
arrivalNode,(370, '2005-05-10T07:49:00',13372802, 'a')
arrivalNode,(514, '2005-05-10T07:51:06',13373166, 'a')
arrivalNode,(349, '2005-05-10T07:21:00',13409202, 'a')
arrivalNode,(437, '2005-05-10T07:24:00',13409566, 'a')
arrivalNode,(466, '2005-05-10T07:27:24',13409930, 'a')
arrivalNode,(188, '2005-05-10T07:30:42',13410294, 'a')
arrivalNode,(344, '2005-05-10T07:33:00',13410658, 'a')
arrivalNode,(356, '2005-05-10T07:36:00',13411022, 'a')
arrivalNode,(409, '2005-05-10T07:38:00',13411386, 'a')
arrivalNode,(240, '2005-05-10T07:42:54',13412114, 'a')
arrivalNode,(611, '2005-05-10T07:45:30',13412478, 'a')
arrivalNode,(592, '2005-05-10T07:49:00',13413206, 'a')
arrivalNode,(606, '2005-05-10T07:53:18',13413934, 'a')
arrivalNode,(623, '2005-05-10T07:57:48',13414298, 'a')
arrivalNode,(10, '2005-05-10T07:39:30',19852, 'a')
arrivalNode,(7, '2005-05-10T07:42:30',20216, 'a')
