from,to,between,from-to,to-between
85KIL,85KIL,85KIL,1,1
85TWNO,85TWNO,85TWNO,1,1
210,210,210,1,1
85TWNO,85TWNO,85TWNO,1,1
85ORDD,85ORDD,85ORDD,1,1
85ORD,85ORD,85ORD,1,1
211,211,211,1,1
85NHOF,85NHOF,85NHOF,1,1
85WUER,85WUER,85WUER,1,1
212,212,212,1,1
85HUEW,85HUEW,85HUEW,1,1
85GF,85GF,85GF,1,1
213,213,213,1,1
85NWD,85NWD,85NWD,1,1
85STMR,85STMR,85STMR,1,1
214,214,214,1,1
85GIB,85GIB,85GIB,1,1
85TD,85TD,85TD,1,1
215,215,215,1,1
85FB,85FB,85FB,1,1
85RW,85RW,85RW,1,1
216,216,216,1,1
85RW,85RW,85RW,1,1
85PF,85PF,85PF,1,1
217,217,217,1,1
85HUEW,85HUEW,85HUEW,1,1
85GF,85GF,85GF,1,1
218,218,218,1,1
85RN,85RN,85RN,1,1
85TU,85TU,85TU,1,1
219,219,219,1,1
85AN,85AN,85AN,1,1
85MTL,85MTL,85MTL,1,1
220,220,220,1,1
85ZWOL,85ZWOL,85ZWOL,1,1
85RUES,85RUES,85RUES,1,1
221,221,221,1,1
85KIL,85KIL,85KIL,1,1
85TWNO,85TWNO,85TWNO,1,1
222,222,222,1,1
85TWNO,85TWNO,85TWNO,1,1
85ORDD,85ORDD,85ORDD,1,1
85ORD,85ORD,85ORD,1,1
223,223,223,1,1
85KIL,85KIL,85KIL,1,1
85TWNO,85TWNO,85TWNO,1,1
224,224,224,1,1
85TW,85TW,85TW,1,1
85HGO,85HGO,85HGO,1,1
225,225,225,1,1
85TW,85TW,85TW,1,1
85HG,85HG,85HG,1,1
226,226,226,1,1
85RZ,85RZ,85RZ,1,1
85EGL,85EGL,85EGL,1,1
227,227,227,1,1
85NW,85NW,85NW,1,1
85SCHO,85SCHO,85SCHO,1,1
228,228,228,1,1
85HERL,85HERL,85HERL,1,1
85UET,85UET,85UET,1,1
229,229,229,1,1
85TW,85TW,85TW,1,1
85HGO,85HGO,85HGO,1,1
230,230,230,1,1
85TW,85TW,85TW,1,1
85HG,85HG,85HG,1,1
231,231,231,1,1
85RZ,85RZ,85RZ,1,1
85EGL,85EGL,85EGL,1,1
232,232,232,1,1
85NW,85NW,85NW,1,1
85SCHO,85SCHO,85SCHO,1,1
233,233,233,1,1
85FI,85FI,85FI,1,1
85WL,85WL,85WL,1,1
234,234,234,1,1
85UER,85UER,85UER,1,1
85KPT,85KPT,85KPT,1,1
235,235,235,1,1
85FRB,85FRB,85FRB,1,1
85HUR,85HUR,85HUR,1,1
85ALTD,85ALTD,85ALTD,1,1
85FRBS,85FRBS,85FRBS,1,1
236,236,236,1,1
85RZ,85RZ,85RZ,1,1
85EGL,85EGL,85EGL,1,1
237,237,237,1,1
85RMZ,85RMZ,85RMZ,1,1
85WILA,85WILA,85WILA,1,1
238,238,238,1,1
85MEDE,85MEDE,85MEDE,1,1
85DA,85DA,85DA,1,1
239,239,239,1,1
85TW,85TW,85TW,1,1
85HGO,85HGO,85HGO,1,1
240,240,240,1,1
85TW,85TW,85TW,1,1
85HG,85HG,85HG,1,1
241,241,241,1,1
85ORDD,85ORDD,85ORDD,1,1
85SBG,85SBG,85SBG,1,1
242,242,242,1,1
