# fromZone, toZone, min
4077,4030,17.818000
4081,243,27.000000
4081,243,27.000000
4083,243,19.490000
4083,243,19.490000
4084,26102,34.651000
4084,26102,34.651000
4093,4045,38.873000
4093,4034,43.561000
4107,4045,34.016000
4107,4034,38.998000
4123,4045,27.256000
4123,4034,31.596000
4301,91,75.392000
4301,91,75.392000
4302,91,72.981000
4302,91,72.981000
4305,91,12.865000
4305,91,12.865000
4306,91,22.297000
4306,91,22.297000
4308,91,26.302000
4308,91,26.302000
4312,91,7.749000
4312,91,7.749000
4314,91,46.043000
4314,91,46.043000
4315,91,48.840000
4315,91,48.840000
4317,91,17.203000
4317,91,17.203000
4318,91,4.000000
4318,91,4.000000
4319,91,9.035000
4319,91,9.035000
4321,91,15.504000
4321,91,15.504000
4322,91,11.552000
4322,91,11.552000
4571,229,5.648000
4571,219,26.060000
4601,227,53.061000
4601,23002,42.744000
23001,23001,5.000000
23001,23001,5.000000
23002,23002,5.000000
23002,23002,5.000000
23003,23003,5.000000
23003,23003,5.000000
23004,23004,5.000000
23004,23001,2.800000
26101,26101,5.000000
26101,26101,5.000000
26102,26102,5.000000
26102,26102,5.000000
26103,26103,5.000000
26103,26103,5.000000
26104,26104,5.000000
26104,26103,3.143000
26105,26104,3.000000
26105,26110,10.823000
26106,26110,3.000000
26106,26101,3.902000
26107,26101,3.000000
26107,26108,1.000000
26108,26108,6.000000
26108,26101,1.000000
26109,26109,5.000000
26109,26104,2.690000
26110,26111,2.485000
26110,26109,10.522000
26111,26111,5.000000
26111,26111,5.000000
26112,69,13.623000
26112,26112,5.000000
